Total final energy consumption at regional and local authority level: 2003 in GWh (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coal ,,,,Manufactured fuels ,,,,Petroleum products ,,,,,,Natural gas ,,,,Electricity ,,,,Renewables & Waste,,,,Consuming Sector,,
NUTS4 Code,NUTS4 Region,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Road transport,Rail,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Total,,Total,,Industry & Commercial,Domestic,Transport
UKJ2100,Brighton and Hove,2.1,6.7,8.8,,0.0,2.9,2.9,,106.6,45.3,"1,027.0",0.3,"1,179.2",,669.3,"1,835.6","2,504.9",,539.3,514.1,"1,053.4",,8.3,,"4,757.6",,"1,325.6","2,404.6","1,027.3"
UKJ4202,Canterbury,5.3,12.4,17.6,,0.0,1.2,1.2,,122.5,67.5,"1,063.1",0.0,"1,253.1",,392.4,958.1,"1,350.5",,274.7,260.1,534.8,,15.1,,"3,172.3",,810.0,"1,299.3","1,063.1"
UKJ1401,Cherwell,188.2,19.7,207.9,,0.3,1.4,1.7,,814.2,186.7,"2,449.3",28.3,"3,478.4",,"1,140.6",786.6,"1,927.2",,351.8,296.0,647.8,,158.4,,"6,421.4",,"2,653.5","1,290.4","2,477.5"
UKJ2403,Chichester,6.1,15.2,21.2,,0.0,1.1,1.1,,174.4,166.0,"1,229.6",0.9,"1,570.8",,663.3,651.9,"1,315.2",,280.0,291.0,571.0,,5.5,,"3,484.8",,"1,129.2","1,125.1","1,230.4"
UKJ1302,Chiltern,1.8,4.5,6.4,,1.5,0.3,1.8,,138.7,53.2,566.8,2.4,761.1,,288.6,891.5,"1,180.1",,148.8,209.9,358.7,,13.5,,"2,321.5",,592.9,"1,159.5",569.1
UKJ2404,Crawley,0.5,0.5,1.0,,0.1,0.7,0.7,,89.4,20.3,512.1,0.7,622.6,,453.5,803.6,"1,257.1",,441.9,172.8,614.6,,8.6,,"2,504.7",,994.0,997.8,512.9
UKJ4203,Dartford,9.3,3.1,12.4,,0.0,4.7,4.8,,201.3,13.9,"1,236.5",1.3,"1,453.0",,"1,007.3",667.7,"1,675.0",,340.7,166.8,507.5,,8.4,,"3,661.1",,"1,567.1",856.2,"1,237.8"
UKJ4204,Dover,24.0,19.3,43.3,,0.2,1.4,1.6,,214.4,68.1,778.5,0.0,"1,061.0",,932.3,749.5,"1,681.8",,240.3,201.9,442.2,,1.2,,"3,231.1",,"1,412.5","1,040.1",778.5
UKJ3302,East Hampshire,4.3,13.9,18.3,,0.0,1.0,1.0,,132.9,149.0,"1,289.2",1.0,"1,572.0",,334.4,848.7,"1,183.1",,232.7,257.2,489.9,,4.9,,"3,269.2",,709.2,"1,269.8","1,290.2"
UKJ2202,Eastbourne,0.5,3.3,3.8,,0.0,0.2,0.2,,77.0,17.1,335.0,0.0,429.0,,150.7,307.3,457.9,,202.4,184.5,386.9,,7.3,,"1,285.1",,437.8,512.4,335.0
UKJ3303,Eastleigh,2.8,4.5,7.3,,0.0,0.3,0.3,,113.9,35.9,"1,120.9",3.5,"1,274.1",,394.8,906.7,"1,301.4",,311.9,223.8,535.7,,15.3,,"3,134.2",,838.6,"1,171.2","1,124.4"
UKJ2301,Elmbridge,0.5,1.8,2.3,,0.0,4.6,4.7,,51.7,22.8,"1,204.5",2.5,"1,281.6",,511.5,"1,154.1","1,665.5",,265.2,289.0,554.2,,3.6,,"3,511.8",,832.5,"1,472.4","1,207.0"
UKJ2302,Epsom and Ewell,0.0,2.1,2.1,,0.0,0.2,0.2,,37.0,6.9,262.7,0.0,306.6,,180.9,501.5,682.4,,107.7,135.8,243.5,,2.4,,"1,237.2",,328.1,646.4,262.7
